,RoomNumber,RF,Bathroom,Front,Balc,SubDivisionNumber
,101,,1,1,,1
,102,,1,1,,1
,103,,1,1,,1
,104,,1,1,,2
,105,,1,1,,2
,106,,1,1,,2
,107,,1,1,,2
,108,,1,1,,3
,109,,1,1,,3
,110,,1,1,,3
,111,,1,1,,3
,112,,1,1,1,4
,113,,,,,5
,114,,,,,5
,115,,,,,5
,116,,,,,5
,117,,,,,6
,118,,,,,6
,119,,,,,6
,120,,,,,6
,121,,,,,7
,122,,,,,7
,123,,,,,7
,124,,,,,8
,125,,,,,8
,126,,,,,8
,127,1,1,,,0
,128,,1,,,9
,129,,1,,,9
,130,,1,,,9
,131,,1,1,,9
,132,,1,1,,9
,201,,1,1,,1
,202,,1,1,,1
,203,,1,1,,1
,204,,1,1,,2
,205,,1,1,,2
,206,,1,1,,2
,207,,1,1,,2
,208,,1,1,,3
,209,,1,1,,3
,210,,1,1,,3
,211,,1,1,,3
,212,,1,1,,4
,213,,,,,5
,214,,,,1,5
,215,,,,,5
,216,,,,1,5
,217,,,,,6
,218,,,,1,6
,219,,,,,6
,220,,,,1,6
,221,,,,,7
,222,,,,1,7
,223,,,,,7
,224,,,,1,7
,225,,,,,8
,226,,,,1,8
,227,,,,,8
,228,,,,1,8
,229,1,1,,1,0
,230,,1,,,9
,231,,1,,,9
,232,,1,,,9
,233,,1,1,,9
,234,,1,1,,9
,235,,1,1,,9
,301,,1,1,,1
,302,,1,1,,1
,303,,1,1,,1
,304,,1,1,,2
,305,,1,1,,2
,306,,1,1,,2
,307,,1,1,,2
,308,,1,1,,3
,309,,1,1,,3
,310,,1,1,,3
,311,,1,1,,3
,312,,1,1,,4
,313,,,,,5
,314,,,,1,5
,315,,,,,5
,316,,,,1,5
,317,,,,,6
,318,,,,1,6
,319,,,,,6
,320,,,,1,6
,321,,,,,7
,322,,,,1,7
,323,,,,,7
,324,,,,1,7
,325,,,,,8
,326,,,,1,8
,327,,,,,8
,328,,,,1,8
,329,1,1,,1,0
,330,,1,,,9
,331,,1,,,9
,332,,1,,,9
,333,,1,1,,9
,334,,1,1,,9
,335,,1,1,,9
,401,,,1,1,1
,402,,,1,1,1
,403,,1,1,1,1
,404,,1,1,1,2
,405,,,1,1,2
,406,,,1,1,2
,407,,1,1,1,2
,408,,1,1,1,3
,409,,,1,1,3
,410,,,1,1,3
,411,,1,1,1,3
,412,,1,1,1,4
,413,,,,,5
,414,,,,1,5
,415,,,,,5
,416,,,,1,5
,417,,,,,6
,418,,,,1,6
,419,,,,,6
,420,,,,1,6
,421,,,,,7
,422,,,,1,7
,423,,,,,7
,424,,,,1,7
,425,,,,,8
,426,,,,1,8
,427,,,,,8
,428,,,,1,8
,429,1,1,,1,0
,501,,,1,1,1
,502,,,1,1,1
,503,,1,1,1,1
,504,,1,1,1,2
,505,,,1,1,2
,506,,,1,1,2
,507,,1,1,1,2
,508,,1,1,1,3
,509,,,1,1,3
,510,,,1,1,3
,511,,1,1,1,3
,512,,1,1,1,4
,513,,,,,5
,514,,,,1,5
,515,,,,,5
,516,,,,1,5
,517,,,,,6
,518,,,,1,6
,519,,,,,6
,520,,,,1,6
,521,,,,,7
,522,,,,1,7
,523,,,,,7
,524,,,,1,7
,525,,,,,8
,526,,,,1,8
,527,,,,,8
,528,,,,1,8
,529,1,1,,1,0
,601,,,1,1,1
,602,,,1,1,1
,603,,1,1,1,1
,604,,1,1,1,2
,605,,,1,1,2
,606,,,1,1,2
,607,,1,1,1,2
,608,,1,1,1,3
,609,,,1,1,3
,610,,,1,1,3
,611,,1,1,1,3
,612,,1,1,1,4
,613,,,,,5
,614,,,,1,5
,615,,,,,5
,616,,,,1,5
,617,,,,,6
,618,,,,1,6
,619,,,,,6
,620,,,,1,6
,621,,,,,7
,622,,,,1,7
,623,,,,,7
,624,,,,1,7
,625,,,,,8
,626,,,,1,8
,627,,,,,8
,628,,,,1,8
,629,1,1,,1,0
,701,,,1,1,1
,702,,,1,1,1
,703,,1,1,1,1
,704,,1,1,1,2
,705,,,1,1,2
,706,,,1,1,2
,707,,1,1,1,2
,708,,1,1,1,3
,709,,,1,1,3
,710,,,1,1,3
,711,,1,1,1,3
,712,,1,1,1,4
,713,,,,,5
,714,,,,1,5
,715,,,,,5
,716,,,,1,5
,717,,,,,6
,718,,,,1,6
,719,,,,,6
,720,,,,1,6
,721,,,,,7
,722,,,,1,7
,723,,,,,7
,724,,,,1,7
,725,,,,,8
,726,,,,1,8
,727,,,,,8
,728,,,,1,8
,729,1,1,,1,0
